"","tax_id","stnum","stname","zip","frontfeet","depth","sqft","acres","nhood","ward","censustract","landuse","yearbuilt","units","vacantbuild","watersvc","assessedland","assessedval","citytaxable","starc","taxtrust","amtdelinqt","taxyrsdelinqt","overduewater","totint"
"121","31150010400000240050010000","134-36","GENESEE ST E","13202",37.53,100,3636.00207327866,0.083471,"Downtown","09","32","Commercial",1900,0,"N","A",91000,507000,507000,507000,NA,11654.95,2,467.05,1923.25
"122","31150010400000230020000000","119-33","CLINTON ST S & WASHINGTON","13202",162,120.24,19468.7055182513,0.44694,"Downtown","09","32","Parking",0,0,"N",NA,486000,509000,509000,509000,NA,0,0,0,0
"123","31150010400000240040000000","132","GENESEE ST E","13088",20,100,2000.00099762996,0.045914,"Downtown","09","32","Commercial",1900,0,"N","A",60000,150000,1e+05,1e+05,NA,0,0,0,0
"124","31150010400000210010000000","360","WASHINGTON ST W & WEST S","13210",305,116.7,52649.666973659,1.20867,"Downtown","08","30","Parking",1991,0,"N","A",706300,5189000,0,0,NA,0,0,0,0
"125","31150010300000170070000000","225","GENESEE ST E","75016",120,101.25,11733.4298846798,0.269362,"Downtown","09","32","Commercial",1996,0,"N","A",240000,410000,410000,410000,NA,0,0,0,0
"126","31150010400000240030000000","128","GENESEE ST E","13202",20,100,1999.98510648354,0.045913,"Downtown","09","32","Commercial",1900,0,"N","A",40000,128000,128000,128000,NA,0,0,105.11,0
"127","31150010300000210110000000","109","TOWNSEND ST S TO BLOCK AL","11206",74.73,165,8713.0995399405,0.200025,"Downtown","15","32","Industrial",1900,0,"Y","I",97600,99000,99000,99000,NA,13623.84,8,0,2249.12
"128","31150010400000210020000000","330","WASHINGTON ST W REAR","13202",65,234,12846.2415791568,0.294909,"Downtown","09","Null","Vacant Land",NA,0,"N",NA,15200,15200,0,0,NA,0,0,0,0
"129","31150010400000240020000000","122-26","GENESEE ST E","13202",44,100.2,4400.01993802253,0.101011,"Downtown","09","32","Commercial",1900,0,"N","A",132000,680000,218300,218300,NA,0,0,0,0
"130","31150010300000240010000000","605-09","FAYETTE ST E TO MCBRIDE S","13202",95.5,99,25305.6500440614,0.580938,"Downtown","15","32","Parking",0,0,"N",NA,120000,120000,120000,120000,NA,0,0,0,0
"131","31150010300000240030000000","600","WASHINGTON ST E & MCBRIDE","13202",65.5,66,4186.98186529091,0.09612,"Downtown","15","32","Parking",0,0,"N",NA,34300,34300,34300,34300,NA,0,0,0,0
"132","31150010300000250030000000","530","WASHINGTON ST E & MCBRIDE","13202",40,174,7411.96516743388,0.170155,"Downtown","15","32","Parking",1930,0,"N",NA,84000,84000,84000,84000,NA,0,0,0,0
"133","31150010400000250010000000","208","WARREN ST S & WASHINGTON","13202",106,132,13992.0093632859,0.321212,"Downtown","09","32","Commercial",1900,0,"N","A",419800,2600000,2350000,2350000,NA,0,0,7908.09,0
"134","31150010300000250020000000","520","WASHINGTON ST E","13202",108.1,132,11954.4252872926,0.274436,"Downtown","15","32","Parking",0,0,"N",NA,62600,62600,62600,62600,NA,0,0,0,0
"135","31150010400000260030000000","201","SALINA ST S & WASHINGTON","13202",48,132,6335.9304580835,0.145453,"Downtown","09","32","Commercial",NA,0,NA,NA,253400,1180000,1180000,1180000,NA,0,0,0,0
"136","31150010300000270010000000","300","WASHINGTON ST E & STATE S","11206",334.28,245.04,68889.9867620117,1.581496,"Downtown","15","32","Commercial",1972,0,"Y","I",1228000,3e+06,3e+06,3e+06,NA,1348797.28,22,1169.2,980056.26
